cod_depto,professor
449,ROBERTO FRANCISCO BOBENRIETH MISERDA
449,DEBORAH DE OLIVEIRA
449,MAKSYM ZIBEROV
449,WALTER DE BRITTO VIDAL FILHO
479,MARTIN LEON JACQUES IBANEZ DE NOVION
479,MARTIN LEON JACQUES IBANEZ DE NOVION
479,RAPHAEL LANA SEABRA
479,LEONARDO CAVALCANTI DA SILVA
479,LILIA GONCALVES MAGALHAES
479,DANIEL BIN
479,DANIEL BIN
479,RAPHAEL LANA SEABRA
479,REBECCA FORATTINI LEMOS IGREJA
479,CRISTHIAN TEOFILO DA SILVA
479,FLAVIA LESSA DE BARROS
479,FLAVIA LESSA DE BARROS
678,ENRIQUE ROBERTO ARGANARAZ
678,GUSTAVO ADOLFO ARGANARAZ
678,YRIS MARIA FONSECA BAZZO
678,DAMARIS SILVEIRA
678,YRIS MARIA FONSECA BAZZO
678,DAMARIS SILVEIRA
678,MONICA VALERO DA SILVA
678,PEROLA DE OLIVEIRA MAGALHAES DIAS BATISTA
678,ANDREA BARRETTO MOTOYAMA
678,INGRID FERREIRA METZGER
678,ALEXANDRE DE GOES MARTINI
678,ANDREA BARRETTO MOTOYAMA
678,INGRID FERREIRA METZGER
678,PAULA MARIA QUAGLIO BELLOZI
678,NOEMIA URRUTH LEAO TAVARES
678,NOEMIA URRUTH LEAO TAVARES
678,NOEMIA URRUTH LEAO TAVARES
678,NOEMIA URRUTH LEAO TAVARES
678,NOEMIA URRUTH LEAO TAVARES
678,RAFAEL MOTA PINHEIRO
678,RAFAEL MOTA PINHEIRO
678,RAFAEL MOTA PINHEIRO
678,RAFAEL MOTA PINHEIRO
678,RAFAEL MOTA PINHEIRO
678,MARCILIO SERGIO SOARES DA CUNHA FILHO
678,PEROLA DE OLIVEIRA MAGALHAES DIAS BATISTA
678,MONICA VALERO DA SILVA
678,MARCILIO SERGIO SOARES DA CUNHA FILHO
678,PAULA MARIA QUAGLIO BELLOZI
678,DEBORA SANTOS LULA BARROS
678,RAFAEL SANTOS SANTANA
678,ELOA FATIMA FERREIRA DE MEDEIROS
678,PATRICIA MEDEIROS DE SOUZA
678,RODRIGO FONSECA LIMA
678,DEBORA SANTOS LULA BARROS
678,DAMARIS SILVEIRA
678,PEROLA DE OLIVEIRA MAGALHAES DIAS BATISTA
678,YRIS MARIA FONSECA BAZZO
678,ALINE COSTA SANTOS NUNES
678,FELIPE SALDANHA DE ARAUJO
678,GUSTAVO ADOLFO ARGANARAZ
678,YANNA KARLA DE MEDEIROS NOBREGA
678,YANNA KARLA DE MEDEIROS NOBREGA
678,RODRIGO FONSECA LIMA
678,RAFAEL SANTOS SANTANA
678,PATRICIA MEDEIROS DE SOUZA
678,JOAO PAULO BARRETO DE SOUSA
678,NAIRA DA SILVA CAMPOS
678,JOAO PAULO BARRETO DE SOUSA
678,GERLON DE ALMEIDA RIBEIRO OLIVEIRA
678,TANISE VENDRUSCOLO DALMOLIN
678,ERICA NEGRINI LIA
678,DJANE BRAZ DUARTE
678,MARILIA BARROS
678,GUILHERME MARTINS SANTOS
678,PAULA MARIA QUAGLIO BELLOZI
678,ALEXANDRE DE GOES MARTINI
678,INGRID FERREIRA METZGER
678,MIKHAEL AEL ROCHA ALVES
678,PAULO EDUARDO DE BRITO
678,ENRIQUE ROBERTO ARGANARAZ
678,ELOISA DUTRA CALDAS
678,GUILHERME MARTINS SANTOS
678,LORENA CARNEIRO ALBERNAZ
678,GRAZIELLA ANSELMO JOANITTI
678,ELIANA FORTES GRIS
678,NATALIA LIMA DE OLIVEIRA
678,MARILEUSA DOSOLINA CHIARELLO
678,NATALIA LIMA DE OLIVEIRA
678,MARILEUSA DOSOLINA CHIARELLO
678,ELIANA FORTES GRIS
678,NATALIA LIMA DE OLIVEIRA
678,RAFAEL MOTA PINHEIRO
678,RAFAEL MOTA PINHEIRO
678,ELOISA DUTRA CALDAS
678,MAURICIO HOMEM DE MELLO
678,ANGELICA AMORIM AMATO
678,ENRIQUE ROBERTO ARGANARAZ
678,LUIZ ANTONIO SOARES ROMEIRO
678,LUIZ ALBERTO SIMEONI
678,SILVIA RIBEIRO DE SOUZA
678,MARIANA LAUNDRY DE MESQUITA
678,MARIANA LAUNDRY DE MESQUITA
678,LAILA SALMEN ESPINDOLA
